doc,half1,half2
CAT_2020Q1,0.0004526935264825713,0.0
CAT_2020Q2,0.00045495905368516835,0.0
CAT_2020Q3,0.001288659793814433,0.010955569080949483
CAT_2020Q4,0.004420866489832007,0.004046242774566474
CAT_2021Q1,0.0022182786157941437,0.0007022471910112359
CAT_2021Q2,0.0055891942244993015,0.005490196078431373
CAT_2021Q3,0.006110868616324749,0.002570694087403599
CAT_2021Q4,0.008920985556499575,0.0011547344110854503
CAT_2022Q1,0.0033291718684977114,0.004484304932735426
CAT_2022Q2,0.0005310674455655868,0.002805049088359046
CAT_2022Q3,0.0028606456885982836,0.0034965034965034965
CAT_2022Q4,0.004551820728291317,0.0010758472296933835
CAT_2023Q1,0.0031007751937984496,0.0020134228187919465
CAT_2023Q2,0.0008920606601248885,0.0028089887640449437
CAT_2023Q3,0.004751619870410367,0.0006422607578676942
CAT_2023Q4,0.0033769523005487546,0.0006246096189881324
CAT_2024Q1,0.0053608247422680414,0.003078817733990148
CAT_2024Q2,0.0036511156186612576,0.013409961685823755
CAT_2024Q3,0.004612159329140462,0.009180327868852459
CAT_2024Q4,0.0017316017316017316,0.0005151983513652757
COP_2007Q1,0.0,0.0
COP_2007Q2,0.001063264221158958,0.005649717514124294
COP_2007Q4,0.0,0.0
COP_2008Q1,0.0006397952655150352,0.0
COP_2008Q2,0.001784651992861392,0.0
COP_2008Q3,0.0005977286312014345,0.0029390154298310064
COP_2008Q4,0.0,0.0
COP_2009Q1,0.0,0.0011299435028248588
COP_2009Q2,0.0007178750897343862,0.012903225806451613
COP_2009Q3,0.0010683760683760685,0.0
COP_2009Q4,0.0,0.0
COP_2010Q1,0.0,0.0
COP_2010Q2,0.0004697040864255519,0.0
COP_2010Q3,0.0,0.0
COP_2010Q4,0.0009643201542912247,0.0
COP_2011Q1,0.0006381620931716656,0.0
COP_2011Q2,0.0006666666666666666,0.0
COP_2011Q3,0.0,0.0008291873963515755
COP_2011Q4,0.0,0.0010384215991692627
COP_2012Q1,0.0,0.0
COP_2012Q2,0.0,0.0
COP_2012Q3,0.0003863987635239567,0.0
COP_2012Q4,0.0,0.0
COP_2013Q1,0.0,0.000758150113722517
COP_2013Q2,0.0018587360594795538,0.0
COP_2013Q3,0.0,0.0
COP_2013Q4,0.0004987531172069825,0.0
COP_2014Q1,0.0013157894736842105,0.0
COP_2014Q2,0.0,0.0006191950464396285
COP_2014Q3,0.0,0.0
COP_2014Q4,0.0,0.0006451612903225806
COP_2015Q1,0.0,0.0
COP_2015Q2,0.0,0.000554016620498615
COP_2015Q3,0.0004970178926441351,0.0005640157924421884
COP_2015Q4,0.0,0.0
COP_2016Q1,0.0,0.0
COP_2016Q2,0.0010116337885685382,0.0
COP_2016Q3,0.0,0.0
COP_2016Q4,0.0,0.0
COP_2017Q1,0.0006854009595613434,0.0
COP_2017Q2,0.0,0.0
COP_2017Q3,0.0,0.0
COP_2017Q4,0.00360082304526749,0.0
COP_2018Q1,0.0,0.0007496251874062968
COP_2018Q2,0.0005122950819672131,0.0
COP_2018Q3,0.0,0.0
COP_2018Q4,0.0005970149253731343,0.0
COP_2019Q1,0.001386001386001386,0.0008403361344537816
COP_2019Q2,0.0,0.0
COP_2019Q3,0.0,0.0
COP_2019Q4,0.0,0.004306632213608958
COP_2020Q1,0.0,0.000715307582260372
COP_2020Q2,0.0,0.0
COP_2020Q3,0.0069605568445475635,0.00672782874617737
COP_2020Q4,0.00944767441860465,0.004651162790697674
COP_2021Q1,0.0012468827930174563,0.00423728813559322
COP_2021Q2,0.0,0.0
COP_2021Q3,0.0076384468491406746,0.0
COP_2021Q4,0.003536067892503536,0.005050505050505051
COP_2022Q1,0.0033085194375516956,0.010660980810234541
COP_2022Q2,0.006516587677725118,0.0014925373134328358
COP_2022Q3,0.0022484541877459247,0.0066815144766146995
COP_2022Q4,0.0038356164383561643,0.009181331293037491
COP_2023Q1,0.003883495145631068,0.0
COP_2023Q2,0.0,0.0
COP_2023Q3,0.001343183344526528,0.0
COP_2023Q4,0.00505902192242833,0.0
COP_2024Q1,0.0007558578987150416,0.0
COP_2024Q2,0.0,0.0
COP_2024Q3,0.0008583690987124463,0.0
COP_2024Q4,0.0,0.0006784260515603799
CVX_2008Q1,0.0011148272017837235,0.0
CVX_2008Q2,0.0006816632583503749,0.0007704160246533128
CVX_2008Q3,0.0,0.0
CVX_2008Q4,0.0005920663114268798,0.0016515276630883566
CVX_2009Q1,0.0,0.0008403361344537816
CVX_2009Q2,0.0,0.0
CVX_2009Q3,0.0006188118811881188,0.0
CVX_2009Q4,0.0005184033177812338,0.0006891798759476223
CVX_2010Q1,0.0011641443538998836,0.0
CVX_2010Q2,0.0010416666666666667,0.0007861635220125787
CVX_2010Q3,0.0006101281269066504,0.006813020439061317
CVX_2010Q4,0.001257071024512885,0.0007993605115907274
CVX_2011Q1,0.0011689070718877848,0.000779423226812159
CVX_2011Q2,0.0023001725129384704,0.0
CVX_2011Q3,0.0015915119363395225,0.003679175864606328
CVX_2011Q4,0.0004965243296921549,0.0008032128514056225
CVX_2012Q1,0.0007541478129713424,0.0
CVX_2012Q2,0.0006127450980392157,0.0
